#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Image URL,Image Path
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,pokemon_images\Clefable.png
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,pokemon_images\Vulpix.png
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,pokemon_images\Ninetales.png
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,pokemon_images\Jigglypuff.png
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,pokemon_images\Wigglytuff.png
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,pokemon_images\Zubat.png
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,pokemon_images\Golbat.png
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,pokemon_images\Oddish.png
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,pokemon_images\Gloom.png
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,pokemon_images\Vileplume.png
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,pokemon_images\Paras.png
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,pokemon_images\Parasect.png
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,pokemon_images\Venonat.png
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,pokemon_images\Venomoth.png
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,pokemon_images\Diglett.png
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,pokemon_images\Dugtrio.png
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,pokemon_images\Meowth.png
53,Persian,Normal,,440,65,70,60,65,65,115,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,pokemon_images\Persian.png
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,pokemon_images\Psyduck.png
55,Golduck,Water,,500,80,82,78,95,80,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,pokemon_images\Golduck.png
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,pokemon_images\Mankey.png
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,pokemon_images\Primeape.png
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,pokemon_images\Growlithe.png
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,pokemon_images\Arcanine.png
60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,pokemon_images\Poliwag.png
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,pokemon_images\Poliwhirl.png
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,pokemon_images\Poliwrath.png
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,pokemon_images\Abra.png
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,pokemon_images\Kadabra.png
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,pokemon_images\Alakazam.png
65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False,,
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,pokemon_images\Machop.png
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,pokemon_images\Machoke.png
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,pokemon_images\Machamp.png
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,pokemon_images\Bellsprout.png
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,pokemon_images\Weepinbell.png
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,pokemon_images\Victreebel.png
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,pokemon_images\Tentacool.png
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,pokemon_images\Tentacruel.png
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,pokemon_images\Geodude.png
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,pokemon_images\Graveler.png
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,pokemon_images\Golem.png
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,pokemon_images\Ponyta.png
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,pokemon_images\Rapidash.png
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,pokemon_images\Slowpoke.png
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,pokemon_images\Slowbro.png
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False,,
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,pokemon_images\Magnemite.png
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,pokemon_images\Magneton.png
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,,
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,pokemon_images\Doduo.png
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,pokemon_images\Dodrio.png
86,Seel,Water,,325,65,45,55,45,70,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,pokemon_images\Seel.png
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,pokemon_images\Dewgong.png
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,pokemon_images\Grimer.png
89,Muk,Poison,,500,105,105,75,65,100,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,pokemon_images\Muk.png
90,Shellder,Water,,305,30,65,100,45,25,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,pokemon_images\Shellder.png
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,pokemon_images\Cloyster.png
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,pokemon_images\Gastly.png
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,pokemon_images\Haunter.png
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,pokemon_images\Gengar.png
94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False,,
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,pokemon_images\Onix.png
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,pokemon_images\Drowzee.png
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,pokemon_images\Hypno.png
98,Krabby,Water,,325,30,105,90,25,25,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,pokemon_images\Krabby.png
99,Kingler,Water,,475,55,130,115,50,50,75,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,pokemon_images\Kingler.png
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,pokemon_images\Voltorb.png
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,pokemon_images\Electrode.png
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,pokemon_images\Exeggcute.png
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,pokemon_images\Exeggutor.png
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,pokemon_images\Cubone.png
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,pokemon_images\Marowak.png
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,pokemon_images\Hitmonlee.png
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,pokemon_images\Hitmonchan.png
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,pokemon_images\Lickitung.png
109,Koffing,Poison,,340,40,65,95,60,45,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,pokemon_images\Koffing.png
110,Weezing,Poison,,490,65,90,120,85,70,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,pokemon_images\Weezing.png
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,pokemon_images\Rhyhorn.png
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,pokemon_images\Rhydon.png
113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,pokemon_images\Chansey.png
114,Tangela,Grass,,435,65,55,115,100,40,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,pokemon_images\Tangela.png
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,pokemon_images\Kangaskhan.png
115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False,,
116,Horsea,Water,,295,30,40,70,70,25,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,pokemon_images\Horsea.png
117,Seadra,Water,,440,55,65,95,95,45,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,pokemon_images\Seadra.png
118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,pokemon_images\Goldeen.png
119,Seaking,Water,,450,80,92,65,65,80,68,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,pokemon_images\Seaking.png
120,Staryu,Water,,340,30,45,55,70,55,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,pokemon_images\Staryu.png
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,pokemon_images\Starmie.png
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,,
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,pokemon_images\Scyther.png
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,pokemon_images\Jynx.png
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,pokemon_images\Electabuzz.png
126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,pokemon_images\Magmar.png
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,pokemon_images\Pinsir.png
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False,,
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,pokemon_images\Tauros.png
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,pokemon_images\Magikarp.png
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,pokemon_images\Gyarados.png
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False,,
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,pokemon_images\Lapras.png
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,pokemon_images\Ditto.png
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,pokemon_images\Eevee.png
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,pokemon_images\Vaporeon.png
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,pokemon_images\Jolteon.png
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,pokemon_images\Flareon.png
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,pokemon_images\Porygon.png
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,pokemon_images\Omanyte.png
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,pokemon_images\Omastar.png
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,pokemon_images\Kabuto.png
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,pokemon_images\Kabutops.png
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,pokemon_images\Aerodactyl.png
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False,,
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,pokemon_images\Snorlax.png
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,pokemon_images\Articuno.png
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,pokemon_images\Zapdos.png
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,pokemon_images\Moltres.png
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,pokemon_images\Dratini.png
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,pokemon_images\Dragonair.png
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,pokemon_images\Dragonite.png
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,pokemon_images\Mewtwo.png
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True,,
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True,,
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,pokemon_images\Mew.png
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,pokemon_images\Chikorita.png
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,pokemon_images\Bayleef.png
154,Meganium,Grass,,525,80,82,100,83,100,80,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,pokemon_images\Meganium.png
