#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Image URL,Image Path,JPG Path
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,pokemon_images\Sandshrew.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC028D0>
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,pokemon_images\Sandslash.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02960>
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,,,
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,pokemon_images\Nidorina.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC029F0>
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,pokemon_images\Nidoqueen.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02A80>
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,,,
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,pokemon_images\Nidorino.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02B10>
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,pokemon_images\Nidoking.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02BA0>
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,pokemon_images\Clefairy.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02C30>
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,pokemon_images\Clefable.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02CC0>
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,pokemon_images\Vulpix.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02D50>
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,pokemon_images\Ninetales.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02DE0>
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,pokemon_images\Jigglypuff.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02E70>
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,pokemon_images\Wigglytuff.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02F00>
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,pokemon_images\Zubat.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02FC0>
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,pokemon_images\Golbat.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02FF0>
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,pokemon_images\Oddish.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03080>
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,pokemon_images\Gloom.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC031A0>
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,pokemon_images\Vileplume.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03110>
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,pokemon_images\Paras.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03200>
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,pokemon_images\Parasect.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03290>
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,pokemon_images\Venonat.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC033E0>
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,pokemon_images\Venomoth.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03380>
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,pokemon_images\Diglett.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03410>
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,pokemon_images\Dugtrio.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03530>
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,pokemon_images\Meowth.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC034A0>
53,Persian,Normal,,440,65,70,60,65,65,115,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,pokemon_images\Persian.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03590>
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,pokemon_images\Psyduck.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03620>
55,Golduck,Water,,500,80,82,78,95,80,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,pokemon_images\Golduck.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC036B0>
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,pokemon_images\Mankey.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03740>
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,pokemon_images\Primeape.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC037D0>
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,pokemon_images\Growlithe.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03860>
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,pokemon_images\Arcanine.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC038F0>
60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,pokemon_images\Poliwag.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03980>
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,pokemon_images\Poliwhirl.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03A10>
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,pokemon_images\Poliwrath.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03AA0>
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,pokemon_images\Abra.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03B30>
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,pokemon_images\Kadabra.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03BC0>
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,pokemon_images\Alakazam.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03C50>
65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False,,,
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,pokemon_images\Machop.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03CE0>
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,pokemon_images\Machoke.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03D70>
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,pokemon_images\Machamp.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03E00>
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,pokemon_images\Bellsprout.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03E90>
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,pokemon_images\Weepinbell.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC03F20>
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,pokemon_images\Victreebel.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30050>
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,pokemon_images\Tentacool.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC300B0>
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,pokemon_images\Tentacruel.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30110>
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,pokemon_images\Geodude.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC301A0>
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,pokemon_images\Graveler.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30230>
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,pokemon_images\Golem.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC302C0>
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,pokemon_images\Ponyta.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30350>
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,pokemon_images\Rapidash.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC303E0>
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,pokemon_images\Slowpoke.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30470>
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,pokemon_images\Slowbro.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30500>
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False,,,
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,pokemon_images\Magnemite.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30590>
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,pokemon_images\Magneton.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30620>
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,,,
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,pokemon_images\Doduo.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC306B0>
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,pokemon_images\Dodrio.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30740>
86,Seel,Water,,325,65,45,55,45,70,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,pokemon_images\Seel.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC307D0>
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,pokemon_images\Dewgong.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30860>
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,pokemon_images\Grimer.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC308F0>
89,Muk,Poison,,500,105,105,75,65,100,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,pokemon_images\Muk.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30980>
90,Shellder,Water,,305,30,65,100,45,25,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,pokemon_images\Shellder.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30A40>
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,pokemon_images\Cloyster.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30B00>
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,pokemon_images\Gastly.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30B30>
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,pokemon_images\Haunter.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30BC0>
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,pokemon_images\Gengar.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30C50>
94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False,,,
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,pokemon_images\Onix.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30CE0>
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,pokemon_images\Drowzee.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30D70>
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,pokemon_images\Hypno.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30E00>
98,Krabby,Water,,325,30,105,90,25,25,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,pokemon_images\Krabby.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30E90>
99,Kingler,Water,,475,55,130,115,50,50,75,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,pokemon_images\Kingler.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30F20>
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,pokemon_images\Voltorb.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC30FB0>
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,pokemon_images\Electrode.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31040>
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,pokemon_images\Exeggcute.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC310D0>
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,pokemon_images\Exeggutor.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31160>
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,pokemon_images\Cubone.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC311F0>
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,pokemon_images\Marowak.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31280>
